id_empresa,nome_empresa_ficticio,setor_economico,subsetor,pais,regiao,ano_referencia,porte_empresa,estagio_maturidade,split_ml,receita_bruta_usd_m,receita_liquida_usd_m,receita_liquida_t_1_usd_m,receita_liquida_t_2_usd_m,receita_recorrente_usd_m,receita_internacional_usd_m,crescimento_receita_pct,taxa_crescimento_anual_pct,lucro_bruto_usd_m,ebitda_usd_m,margem_ebitda_pct,lucro_operacional_usd_m,margem_operacional_pct,lucro_liquido_usd_m,margem_liquida_pct,margem_bruta_pct,roa_pct,roe_pct,roi_pct,ativos_totais_usd_m,passivos_totais_usd_m,divida_curto_prazo_usd_m,divida_longo_prazo_usd_m,divida_total_usd_m,patrimonio_liquido_usd_m,debt_to_equity,indice_alavancagem,cobertura_juros,ativos_circulantes_usd_m,passivos_circulantes_usd_m,caixa_usd_m,equivalentes_caixa_usd_m,capital_giro_usd_m,liquidez_corrente,liquidez_seca,liquidez_imediata,fluxo_operacional_usd_m,fluxo_investimentos_usd_m,fluxo_financiamentos_usd_m,fluxo_caixa_livre_usd_m,fluxo_caixa_livre_t_1_usd_m,variacao_caixa_usd_m,custos_operacionais_usd_m,despesas_administrativas_usd_m,despesas_financeiras_usd_m,investimentos_capex_usd_m,opex_usd_m,giro_ativo,giro_estoque,prazo_medio_recebimento_dias,prazo_medio_pagamento_dias,valor_mercado_estimado_usd_m,numero_funcionarios,market_share_estimado_pct,participacao_internacional_pct,indice_solvencia,indice_cobertura,indice_eficiencia_0_100,indice_risco_financeiro_0_100,indice_saude_financeira_0_100,score_financeiro_geral_0_100,target_deterioracao_financeira,target_probabilidade_deterioracao_pct,target_classe_risco,target_faixa_saude_financeira,target_probabilidade_insolvencia_pct,target_tende_crescer_proximo_periodo,target_fluxo_caixa_livre_proximo_periodo_usd_m,target_crescimento_receita_proximo_periodo_pct
EMP00001,Orion Petro Group,Energia,Renováveis,Brasil,América Latina,2025,Grande,Expansão,treino,1416.9755,1363.3294,1165.2173,1014.6669,942.6274,388.5182,17.0022,15.9147,473.6576,313.3236,22.9822,183.8674,13.4866,-57.2197,-4.1971,34.7427,-1.0112,-2.8235,3.1879,5658.6947,3632.1645,366.556,1773.6752,2140.2311,2026.5302,1.0561,2.7923,0.7667,1204.6178,1065.8915,427.6842,179.5638,138.7263,1.1302,1.0434,0.5697,81.711,-157.4448,3.4756,-80.559,-69.2259,-72.2582,987.0082,62.9977,239.8011,162.27,1050.0059,0.2409,9.6271,31.6556,56.2322,1406.6976,2112,28.0,28.4977,1.5579,1.0247,51.3856,79.3756,16.8536,17.6763,Não,60.7532,Médio,Crítica,36.4438,Sim,-44.6528,11.6639
EMP00002,Vértice Produtos Participações,Bens de Consumo,Bens Duráveis,Reino Unido,Europa,2025,Grande,Reestruturação,teste,410.6403,383.0005,439.8866,492.8847,124.8672,84.7766,-12.932,-11.8491,137.1929,57.3904,14.9844,46.5604,12.1568,27.1932,7.1,35.8206,10.249,25.2578,17.4311,265.3262,157.6638,20.6561,59.4844,80.1405,107.6624,0.7444,2.4644,7.6806,105.186,71.3694,25.6735,9.0226,33.8166,1.4738,0.6921,0.4861,36.7646,-9.6547,-10.9692,26.5461,33.5469,16.1407,303.5011,22.109,6.0621,10.2185,325.6101,1.4435,4.4056,57.0501,55.9661,1040.3826,1454,16.2196,22.1348,1.6829,5.868,53.591,11.0393,84.309,81.918,Não,0.5,Baixo,Excelente,0.1617,Não,30.5318,-5.2105
EMP00003,Valor Lojas International,Varejo,Moda e Vestuário,Índia,Ásia,2025,Pequena,Madura,treino,2.672,2.4356,2.4784,2.3582,0.4982,0.0408,-1.7251,1.6281,0.8586,0.2571,10.5553,0.1783,7.3185,0.1353,5.5535,35.2503,10.262,29.8754,14.1419,1.3181,0.8653,0.2406,0.2251,0.4657,0.4528,1.0287,2.9113,3.2356,0.3441,0.3107,0.0841,0.0273,0.0334,1.1076,0.4209,0.3586,0.242,-0.0814,0.029,0.1606,0.1994,0.1896,1.9679,0.2107,0.0551,0.0814,2.1786,1.8478,6.3535,3.0,41.0941,1.7498,10,0.0378,1.674,1.5232,2.6126,52.163,15.7438,83.0845,80.9017,Sim,3.3399,Baixo,Excelente,1.5628,Não,-0.012,-6.98
EMP00004,Eco Consumer Sistemas,Bens de Consumo,Alimentos e Bebidas,Japão,Ásia,2025,Grande,Expansão,treino,40606.7441,37914.1659,36009.6601,35064.8199,17421.7828,13348.7156,5.2889,3.9836,14570.3418,5842.7163,15.4104,4215.4078,11.1183,2361.0364,6.2273,38.4298,10.8253,25.4093,17.5084,21810.403,12518.3816,2336.9243,4668.8838,7005.8082,9292.0214,0.754,2.3472,11.0321,3781.6935,2182.1249,806.7482,1057.7265,1599.5686,1.733,0.6586,0.8544,5434.4738,-2548.669,3387.9076,2803.6079,2777.969,6273.7125,28964.1662,3107.2833,382.1053,2630.8659,32071.4496,1.7384,6.99,41.9589,53.7686,103316.6304,149367,28.0,35.2077,1.7423,7.2784,53.8801,2.154,99.0,91.0784,Não,0.5,Baixo,Excelente,0.1,Sim,1522.7745,5.962
EMP00005,Integra Seguros Operações,Bancos e Serviços Financeiros,Gestão de Ativos,Brasil,América Latina,2025,Pequena,Madura,validacao,36.759,35.6609,32.3737,28.938,29.4387,0.0,10.1542,11.01,15.857,8.9998,25.2371,8.4886,23.8035,-3.0226,-8.4759,44.4661,-0.8277,-47.5975,8.5382,365.1603,358.81,30.0817,39.3445,69.4262,6.3503,10.9327,57.5028,0.743,141.0242,158.4302,8.7394,2.9101,-17.406,0.8901,0.8901,0.0735,-1.1769,-0.2555,2.1385,-1.4481,-1.4165,0.7061,19.7986,6.8625,11.4253,0.2712,26.6611,0.0977,0.0,0,0,36.6238,49,3.9613,0.0,1.0177,0.5344,48.3555,99.0,1.0,7.6685,Não,94.5795,Alto,Crítica,95.6371,Sim,1.7034,18.8333
EMP00006,Eco Brands Corporation,Bens de Consumo,Produtos Domésticos,Austrália,Oceania,2025,Média,Madura,treino,452.909,438.6684,418.5837,384.7085,204.3661,9.0687,4.7983,6.783,167.8924,75.8486,17.2906,63.4304,14.4598,40.3645,9.2016,38.2732,11.4498,32.8158,18.2938,352.535,229.5318,55.1489,71.6734,126.8223,123.0032,1.031,2.8661,6.4223,65.4885,73.6884,23.0843,10.3151,-8.1999,0.8887,0.3377,0.4533,54.4474,-26.6677,-11.2551,25.6169,23.4223,16.5247,323.1765,39.6434,9.8765,28.8305,362.8199,1.2443,4.513,37.2745,46.0135,895.0242,249,1.5539,2.0673,1.5359,3.8301,54.0655,9.7228,88.2824,84.4668,Não,1.1227,Baixo,Excelente,0.3739,Sim,43.1439,17.8465
EMP00007,Horizonte Industrial Corporation,Indústria,Automotivo,Estados Unidos,América do Norte,2025,Pequena,Madura,teste,34.748,33.5134,32.3683,28.866,14.311,10.0229,3.5379,7.7498,12.4673,4.48,13.3677,2.896,8.6414,1.1974,3.5729,37.2009,2.9672,8.7146,8.3375,40.3544,26.6143,5.8917,7.1711,13.0628,13.7401,0.9507,2.937,3.0181,15.205,11.0731,3.4273,2.2205,4.1319,1.3731,1.035,0.51,2.7273,-3.7608,-0.2585,-1.0748,-0.9669,-1.292,27.9181,1.1153,0.9596,3.8022,29.0334,0.8305,5.6208,51.1645,49.7546,64.9041,49,6.5954,29.9072,1.5163,2.2177,52.7717,33.6857,67.0043,56.976,Não,6.6308,Baixo,Boa,2.9308,Não,-0.3069,3.7691
EMP00008,Apex Materials Empreendimentos,Indústria,Materiais Industriais,Brasil,América Latina,2025,Grande,Expansão,teste,25462.2182,24122.4935,23939.2917,23596.1988,10634.594,6013.1748,0.7653,1.1091,8174.0011,3275.9955,13.5807,1880.5543,7.7959,818.7165,3.394,33.8854,3.7126,9.6852,9.0777,22052.1313,13598.8175,2436.5797,4419.9162,6856.4959,8453.3138,0.8111,2.6087,2.2723,6976.5972,4796.4921,2122.2406,310.8904,2180.105,1.4545,0.6908,0.5073,2169.712,-1783.2526,405.635,175.6623,173.4619,792.0944,19024.5485,1821.9495,827.5905,1994.0498,20846.498,1.0939,4.3539,46.9075,42.899,24534.0245,84502,28.0,24.9277,1.6216,2.5873,52.6731,43.7977,58.8184,53.3738,Não,4.0072,Baixo,Atenção,2.6013,Não,1112.7426,-2.6265
EMP00009,Smart Renova Indústrias,Energia,Energia Elétrica,Estados Unidos,América do Norte,2025,Pequena,Inicial,treino,20.948,20.3933,16.8902,17.5746,12.9313,8.1206,20.7408,7.7212,8.2302,4.1804,20.499,2.4695,12.1095,1.3209,6.4772,40.3572,3.8477,11.3988,8.1723,34.3297,22.7415,6.9165,5.5935,12.51,11.5881,1.0796,2.9625,2.7466,6.3008,5.4387,0.7246,0.7284,0.8621,1.1585,0.8556,0.2672,3.3577,-2.939,0.9362,0.3146,0.2741,1.3549,15.2916,0.9213,0.8991,3.0431,16.2129,0.594,7.3825,52.652,46.5619,21.5779,30,4.4898,39.8201,1.5096,1.9497,54.3744,18.3185,83.3707,69.1727,Sim,4.0375,Baixo,Excelente,1.9081,Não,-0.078,11.7995
EMP00010,Blue Health Partners,Saúde,Equipamentos Médicos,Canadá,América do Norte,2025,Pequena,Madura,treino,2.1015,1.9986,2.0049,2.0229,1.1041,0.3567,-0.3156,-0.6035,0.416,-0.0507,-2.538,-0.1102,-5.5121,-0.2417,-12.0928,20.8157,-11.3801,-38.2894,-5.3297,2.1237,1.4925,0.5224,0.3918,0.9142,0.6312,1.4484,3.3646,-0.781,0.5819,0.4618,0.2086,0.0368,0.12,1.2599,0.4788,0.5315,-0.1711,-0.0434,0.0991,-0.2182,-0.2358,-0.1154,1.8338,0.2155,0.1411,0.0472,2.0493,0.9411,3.82,44.6217,52.9938,6.1334,10,0.002,17.8495,1.4229,-0.2157,47.7108,99.0,1.0,0.0,Não,86.3052,Alto,Crítica,67.8496,Não,-0.0643,0.6894
